,n,t,r,sigma,r_fit,rep,d,loss_true,max_qnorm_ub_true,loss_fit,max_qnorm_ub_fit,gen_err_fit
109,20,3,3,0.0,64,3,7,0.0,8.224193697782685,0.031542750823992466,5.595525159362392,0.09801027860637963
110,20,3,3,0.0,64,3,11,0.0,6.7525899296488845,0.01380730812601291,5.75298132043046,0.02790989630347113
111,20,3,3,0.0,64,3,15,0.0,7.614899868589377,0.009006189720171162,6.916808594193749,0.013731885983031274
112,20,3,3,0.0,64,4,3,0.0,9.042185231641344,0.04381621107475593,3.6309027173074124,1.0143786552537752
113,20,3,3,0.0,64,4,7,0.0,7.947164359390705,0.02731267784679104,5.940768599187063,0.07852258304403664
114,20,3,3,0.0,64,4,11,0.0,8.885692217975436,0.015543789860549865,7.711992039748104,0.026471705075667363
115,20,3,3,0.0,64,4,15,0.0,9.14047381398597,0.011677633024490404,8.085585177461189,0.017618560796745602
116,20,3,3,0.0,64,5,3,0.0,8.151469760456884,0.05056866673181668,4.378095299947208,1.0120739573961224
117,20,3,3,0.0,64,5,7,0.0,10.113739581408332,0.037698639088037174,7.318908606913243,0.09528150428741872
118,20,3,3,0.0,64,5,11,0.0,10.311987376668014,0.016884387921711704,8.686787136063018,0.040852661011114
119,20,3,3,0.0,64,5,15,0.0,10.895526132133384,0.012866313588091056,8.433878627425406,0.04421465742873997
120,20,4,3,0.0,3,0,3,0.0,20.85534245012392,0.1817360431057211,61.099352079630386,3.006116895496774
121,20,4,3,0.0,3,0,7,0.0,17.962993618383734,0.18638059256655545,232.3300866629133,6.818910720383212
122,20,4,3,0.0,3,0,11,0.0,19.566902903163626,0.005704546779508761,19.35347254837794,0.007811292020602675
123,20,4,3,0.0,3,0,15,0.0,23.195382591270075,0.0020334492495994233,22.856044048229865,0.002264211470852262
124,20,4,3,0.0,3,1,3,0.0,25.904692019161555,0.29109482388030367,126.32084310780078,3.8339752604691983
125,20,4,3,0.0,3,1,7,0.0,19.508331403278742,0.4194891793847465,663.444731229636,7.8762803862920805
126,20,4,3,0.0,3,1,11,0.0,19.907365474273664,0.0063941986066237775,18.34982314126402,0.009772450582260363
127,20,4,3,0.0,3,1,15,0.0,20.999627647715506,0.0021852613930630834,22.16194528424545,0.0025422161308423148
128,20,4,3,0.0,3,2,3,0.0,16.412381679503575,0.32150354813371684,92.92351014207676,3.6835661237674753
129,20,4,3,0.0,3,2,7,0.0,26.460124718930434,0.02148018855298315,20.783550798813124,0.0427810490184234
